ID,gics_sector_name
REDD LN Equity,Industrials
TCAP LN Equity,Financials
AVON LN Equity,Industrials
MSLH LN Equity,Materials
SAFE LN Equity,Real Estate
WIZZ LN Equity,Industrials
INCH LN Equity,Consumer Discretionary
USA LN Equity,#N/A
KGF LN Equity,Consumer Discretionary
MGNS LN Equity,Industrials
FRAS LN Equity,Consumer Discretionary
MKS LN Equity,Consumer Discretionary
GYS LN Equity,Consumer Discretionary
NXT LN Equity,Consumer Discretionary
JDW LN Equity,Consumer Discretionary
PSON LN Equity,Communication Services
HSX LN Equity,Financials
PSN LN Equity,Consumer Discretionary
REL LN Equity,Industrials
TW/ LN Equity,Consumer Discretionary
BGFD LN Equity,#N/A
NG/ LN Equity,Utilities
INVP LN Equity,Financials
WTB LN Equity,Consumer Discretionary
POLY LN Equity,Materials
WPP LN Equity,Communication Services
EWI LN Equity,#N/A
BGS LN Equity,#N/A
MDC LN Equity,Health Care
BBOX LN Equity,Real Estate
AVST LN Equity,Information Technology
TRIG LN Equity,Utilities
EMG LN Equity,Financials
NCC LN Equity,Information Technology
OCDO LN Equity,Consumer Discretionary
FGT LN Equity,#N/A
GSK LN Equity,Health Care
GEN LN Equity,Industrials
ASHM LN Equity,Financials
IWG LN Equity,Real Estate
DCC LN Equity,Industrials
CCR LN Equity,Consumer Staples
PHP LN Equity,Real Estate
ENT LN Equity,Consumer Discretionary
ADM LN Equity,Financials
ULVR LN Equity,Consumer Staples
JET LN Equity,Consumer Discretionary
SYNC LN Equity,#N/A
HIK LN Equity,Health Care
BME LN Equity,Consumer Discretionary
CHG LN Equity,Industrials
CTY LN Equity,#N/A
FXPO LN Equity,Materials
PRTC LN Equity,Health Care
SDP LN Equity,#N/A
PIN LN Equity,#N/A
FGP LN Equity,Industrials
ULE LN Equity,Industrials
RMG LN Equity,Industrials
CAPC LN Equity,Real Estate
AZN LN Equity,Health Care
INF LN Equity,Communication Services
AHT LN Equity,Industrials
ABF LN Equity,Consumer Staples
BBY LN Equity,Industrials
IHG LN Equity,Consumer Discretionary
COA LN Equity,Consumer Discretionary
CCL LN Equity,Consumer Discretionary
BNZL LN Equity,Industrials
DOM LN Equity,Consumer Discretionary
BRBY LN Equity,Consumer Discretionary
ICGT LN Equity,#N/A
CCC LN Equity,Information Technology
CPI LN Equity,Information Technology
CBG LN Equity,Financials
CPG LN Equity,Consumer Discretionary
VSVS LN Equity,Industrials
CRDA LN Equity,Materials
MAB LN Equity,Consumer Discretionary
ITV LN Equity,Communication Services
CTEC LN Equity,Health Care
WKP LN Equity,Real Estate
ECM LN Equity,Industrials
MCRO LN Equity,Information Technology
DGE LN Equity,Consumer Staples
HLMA LN Equity,Information Technology
NEX LN Equity,Industrials
HSBA LN Equity,Financials
RMV LN Equity,Communication Services
EDIN LN Equity,#N/A
IMI LN Equity,Industrials
BBGI LN Equity,#N/A
RDSB LN Equity,Energy
CLI LN Equity,Real Estate
MGGT LN Equity,Industrials
HWDN LN Equity,Industrials
MRW LN Equity,Consumer Staples
SEQI LN Equity,#N/A
SCT LN Equity,Information Technology
UU/ LN Equity,Utilities
BWY LN Equity,Consumer Discretionary
OXIG LN Equity,Information Technology
AO/ LN Equity,Consumer Discretionary
PFG LN Equity,Financials
RNK LN Equity,Consumer Discretionary
DC/ LN Equity,Consumer Discretionary
RSW LN Equity,Information Technology
LIO LN Equity,Financials
RTO LN Equity,Industrials
HGT LN Equity,#N/A
NWG LN Equity,Financials
JTC LN Equity,Financials
SBRY LN Equity,Consumer Staples
SDR LN Equity,Financials
BRWM LN Equity,#N/A
ATT LN Equity,#N/A
SRP LN Equity,Industrials
NETW LN Equity,Information Technology
VOD LN Equity,Communication Services
SMIN LN Equity,Industrials
HSV LN Equity,Industrials
PNN LN Equity,Utilities
STAN LN Equity,Financials
BARC LN Equity,Financials
PTEC LN Equity,Consumer Discretionary
ASCL LN Equity,Communication Services
TSCO LN Equity,Consumer Staples
BAB LN Equity,Industrials
MGAM LN Equity,Industrials
INPP LN Equity,#N/A
SGE LN Equity,Information Technology
GRI LN Equity,Real Estate
SGRO LN Equity,Real Estate
TATE LN Equity,Consumer Staples
GNS LN Equity,Health Care
TPK LN Equity,Industrials
CEY LN Equity,Materials
LMP LN Equity,Real Estate
LLOY LN Equity,Financials
TLW LN Equity,Energy
TEP LN Equity,Utilities
STJ LN Equity,Financials
FERG LN Equity,Industrials
FOUR LN Equity,Communication Services
PCT LN Equity,#N/A
AGR LN Equity,Real Estate
GFTU LN Equity,Industrials
WTAN LN Equity,#N/A
FCSS LN Equity,#N/A
HICL LN Equity,#N/A
SLA LN Equity,Financials
BGSC LN Equity,#N/A
TUI LN Equity,Consumer Discretionary
PLUS LN Equity,Financials
SMT LN Equity,#N/A
JUST LN Equity,Financials
UKCM LN Equity,Real Estate
PFD LN Equity,Consumer Staples
MNG LN Equity,Financials
OXB LN Equity,Health Care
FUTR LN Equity,Communication Services
BYG LN Equity,Real Estate
HTWS LN Equity,Communication Services
MONY LN Equity,Consumer Discretionary
TEM LN Equity,#N/A
SKG LN Equity,Materials
IAG LN Equity,Industrials
POG LN Equity,Materials
XPP LN Equity,Industrials
BP/ LN Equity,Energy
QQ/ LN Equity,Industrials
BT/A LN Equity,Communication Services
MRO LN Equity,Industrials
HFG LN Equity,Consumer Staples
CHRY LN Equity,#N/A
FAN LN Equity,Industrials
FDM LN Equity,Information Technology
INDV LN Equity,Health Care
FRES LN Equity,Materials
GSS LN Equity,#N/A
CSP LN Equity,Consumer Discretionary
AUTO LN Equity,Communication Services
FEV LN Equity,#N/A
EZJ LN Equity,Industrials
DOCS LN Equity,Consumer Discretionary
JEO LN Equity,#N/A
AV/ LN Equity,Financials
CLDN LN Equity,#N/A
LGEN LN Equity,Financials
DLG LN Equity,Financials
PRU LN Equity,Financials
ANTO LN Equity,Materials
SYNT LN Equity,Materials
SXS LN Equity,Information Technology
MTO LN Equity,Industrials
EVR LN Equity,Materials
SSE LN Equity,Utilities
WEIR LN Equity,Industrials
ATST LN Equity,#N/A
LRE LN Equity,Financials
JLG LN Equity,Industrials
BEZ LN Equity,Financials
QLT LN Equity,Financials
VCT LN Equity,Materials
JD/ LN Equity,Consumer Discretionary
LWDB LN Equity,Financials
SPT LN Equity,Information Technology
UDG LN Equity,Health Care
AAF LN Equity,Communication Services
AGT LN Equity,#N/A
AVV LN Equity,Information Technology
SOI LN Equity,#N/A
RHIM LN Equity,Materials
BRSC LN Equity,#N/A
CCH LN Equity,Consumer Staples
FSFL LN Equity,#N/A
FSV LN Equity,#N/A
CSH LN Equity,Real Estate
HSL LN Equity,#N/A
VEC LN Equity,Health Care
JUP LN Equity,Financials
HAS LN Equity,Industrials
SPX LN Equity,Industrials
SMP LN Equity,Real Estate
SMWH LN Equity,Consumer Discretionary
RDSA LN Equity,Energy
SONG LN Equity,#N/A
PSH LN Equity,#N/A
ESNT LN Equity,Materials
TIFS LN Equity,Consumer Discretionary
IBST LN Equity,Materials
WWH LN Equity,#N/A
TMPL LN Equity,#N/A
MRC LN Equity,#N/A
AML LN Equity,Consumer Discretionary
BBH LN Equity,#N/A
3IN LN Equity,#N/A
BLND LN Equity,Real Estate
CINE LN Equity,Communication Services
DLN LN Equity,Real Estate
GPOR LN Equity,Real Estate
SRE LN Equity,Real Estate
HMSO LN Equity,Real Estate
CRST LN Equity,Consumer Discretionary
MNKS LN Equity,#N/A
LAND LN Equity,Real Estate
TRY LN Equity,#N/A
CMCX LN Equity,Financials
IGG LN Equity,Financials
LXI LN Equity,Real Estate
APAX LN Equity,#N/A
JMAT LN Equity,Materials
PZC LN Equity,Consumer Staples
RKT LN Equity,Consumer Staples
RR/ LN Equity,Industrials
UKW LN Equity,Utilities
BIFF LN Equity,Industrials
AJB LN Equity,Financials
RTN LN Equity,Consumer Discretionary
ROR LN Equity,Industrials
CKN LN Equity,Industrials
VEIL LN Equity,#N/A
MUT LN Equity,#N/A
DPLM LN Equity,Industrials
IHP LN Equity,Financials
ERM LN Equity,Communication Services
VMUK LN Equity,Financials
FCIT LN Equity,#N/A
CNA LN Equity,Utilities
GRG LN Equity,Consumer Discretionary
ELM LN Equity,Materials
HRI LN Equity,#N/A
HILS LN Equity,Materials
KNOS LN Equity,Information Technology
BYIT LN Equity,Information Technology
PAG LN Equity,Financials
GNC LN Equity,Consumer Staples
MYI LN Equity,#N/A
RAT LN Equity,Financials
OSB LN Equity,Financials
IMB LN Equity,Consumer Staples
GAW LN Equity,Consumer Discretionary
SSON LN Equity,#N/A
PAGE LN Equity,Industrials
TRN LN Equity,Consumer Discretionary
RDW LN Equity,Consumer Discretionary
DRX LN Equity,Utilities
BATS LN Equity,Consumer Staples
CNE LN Equity,Energy
SSPG LN Equity,Consumer Discretionary
BNKR LN Equity,#N/A
SVS LN Equity,Real Estate
BVIC LN Equity,Consumer Staples
888 LN Equity,Consumer Discretionary
PHNX LN Equity,Financials
JFJ LN Equity,#N/A
JLEN LN Equity,#N/A
BA/ LN Equity,Industrials
RCP LN Equity,#N/A
UTG LN Equity,Real Estate
DNLM LN Equity,Consumer Discretionary
WOSG LN Equity,Consumer Discretionary
TYMN LN Equity,Industrials
FLTR LN Equity,Consumer Discretionary
MNDI LN Equity,Materials
PNL LN Equity,#N/A
ICP LN Equity,Financials
JEDT LN Equity,#N/A
HOC LN Equity,Materials
III LN Equity,Financials
SMDS LN Equity,Materials
VTY LN Equity,Consumer Discretionary
IPO LN Equity,Financials
GLEN LN Equity,Materials
BHP LN Equity,Materials
SVT LN Equity,Utilities
AGK LN Equity,Industrials
SHB LN Equity,Real Estate
ASL LN Equity,#N/A
SBRE LN Equity,Financials
WIX LN Equity,Consumer Discretionary
JMG LN Equity,#N/A
DPH LN Equity,Health Care
IEM LN Equity,#N/A
CRH LN Equity,Materials
DEC LN Equity,Energy
PETS LN Equity,Consumer Discretionary
HVPE LN Equity,#N/A
N91 LN Equity,Financials
DIGS LN Equity,Real Estate
AAL LN Equity,Materials
ENOG LN Equity,Energy
BOY LN Equity,Industrials
GLO LN Equity,Utilities
RIO LN Equity,Materials
SNN LN Equity,Financials
ITRK LN Equity,Industrials
VOF LN Equity,#N/A
SAIN LN Equity,#N/A
VVO LN Equity,Consumer Discretionary
HL/ LN Equity,Financials
GCP LN Equity,#N/A
SN/ LN Equity,Health Care
WG/ LN Equity,Energy
BRW LN Equity,Financials
LSEG LN Equity,Financials
CWK LN Equity,Consumer Staples
JAM LN Equity,#N/A
EXPN LN Equity,Industrials
BDEV LN Equity,Consumer Discretionary
BKG LN Equity,Consumer Discretionary